Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
90,13.637,77.3,10.2,1,689,617,209332.36,0.8978,0.3922,0.2578,0.0747,0.037653,78.6
91,13.721,80.7,11.9,1,701,617,212287.45,0.8916,0.3836,0.2479,0.1059,0.037571,83.2
92,13.81,75.8,11.3,1,697,614,213234.77,0.8896,0.3808,0.2376,0.0853,0.037707,76.9
93,13.892,75.3,12.1,1,695,608,212559.77,0.891,0.3828,0.2213,0.0841,0.037826,77.7
94,13.976,75.8,12.0,1,703,596,213391.39,0.8893,0.3804,0.1891,0.106,0.037574,76.9
95,14.059,78.6,12.1,1,710,568,213931.58,0.8881,0.3788,0.112,0.1157,0.037541,80.6
96,14.145,79.4,11.6,1,713,557,214727.19,0.8865,0.3765,0.1093,0.1168,0.037753,81.0
97,14.232,85.6,11.5,1,707,547,216524.64,0.8828,0.3713,0.0904,0.0996,0.037841,86.8
98,14.324,79.5,10.8,1,701,549,216206.77,0.8835,0.3722,0.1081,0.09,0.037956,81.9
99,14.412,78.0,11.4,1,697,545,214645.75,0.8867,0.3767,0.0924,0.0854,0.038038,79.2
100,14.497,78.2,11.8,1,696,549,214491.94,0.887,0.3772,0.1107,0.0866,0.037939,80.7
101,14.583,80.5,11.6,1,682,538,208968.2,0.8986,0.3932,0.0693,0.0531,0.038225,81.6
102,14.671,83.2,11.5,1,677,525,206912.16,0.9031,0.3992,0.0408,0.0535,0.038056,84.4
103,14.761,78.0,11.1,1,678,519,207243.58,0.9024,0.3982,0.0361,0.0603,0.037957,80.4
104,14.847,85.0,11.6,1,673,522,206847.6,0.9032,0.3994,0.053,0.0473,0.03789,86.1
105,14.939,83.3,10.9,1,678,528,207703.84,0.9014,0.3969,0.0686,0.0637,0.038129,84.8
106,15.029,78.3,11.1,1,672,531,211626.44,0.893,0.3855,0.0721,0.0446,0.037909,80.8
107,15.116,79.4,11.5,1,670,523,211549.14,0.8931,0.3857,0.0418,0.0451,0.038102,81.7
108,15.203,80.3,11.4,1,674,515,213101.67,0.8899,0.3812,0,0.0567,0.03779,82.8
109,15.292,79.5,11.3,1,668,496,211975.78,0.8922,0.3845,0,0.0384,0.037784,82.0
