Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
173,12.643,33.5,27.2,1,935,547,206132.78,0.9048,0.4015,0,0.4704,0.037851,35.9
174,12.685,34.2,23.9,1,934,527,228072.14,0.8602,0.3377,0,0.4575,0.037681,35.4
175,12.726,33.6,24.1,1,932,519,226798.81,0.8626,0.3414,0,0.4525,0.037719,36.0
176,12.768,32.9,23.9,1,929,518,222081.83,0.8717,0.3551,0.0387,0.4457,0.037768,33.9
177,12.808,33.2,25.2,1,925,521,223317.8,0.8693,0.3516,0.0559,0.4375,0.037556,34.3
178,12.848,33.6,24.9,1,920,526,221358.58,0.8731,0.3572,0.0708,0.4282,0.037507,36.0
179,12.89,33.1,23.8,1,917,531,220643.08,0.8745,0.3593,0.0819,0.427,0.037413,34.2
180,12.93,33.3,24.9,1,915,529,216807.69,0.8822,0.3705,0.0597,0.4259,0.037401,35.6
181,12.972,32.9,24.1,1,917,523,214214.97,0.8876,0.378,0.037,0.4366,0.037379,35.2
182,13.013,33.5,24.3,1,919,514,212813.73,0.8905,0.3821,0,0.4397,0.037669,36.0
183,13.055,33.7,23.8,1,923,505,216212.84,0.8834,0.3722,0,0.4496,0.038084,36.1
184,13.097,33.0,23.8,1,931,494,220538.2,0.8747,0.3596,-0.0369,0.4698,0.038185,35.4
185,13.138,33.8,24.2,1,938,487,227772.48,0.8607,0.3386,-0.0307,0.4788,0.033459,35.7
186,13.18,35.1,23.7,1,940,486,228290.11,0.8598,0.3371,0,0.4723,0.033192,37.8
187,13.225,33.9,22.5,1,940,486,228177.84,0.86,0.3374,0,0.4688,0.032661,36.3
188,13.267,33.9,23.4,1,939,484,227679.53,0.8609,0.3389,0,0.4654,0.031014,36.2
189,13.31,33.0,23.7,1,937,472,227188.92,0.8618,0.3403,-0.08,0.4603,0.031949,35.4
190,13.351,33.2,24.2,1,934,463,223896.19,0.8682,0.3499,-0.0907,0.4535,0.031949,34.3
191,13.391,33.4,24.9,1,932,456,224387.08,0.8672,0.3484,-0.1002,0.4524,0.031949,34.2
192,13.431,33.0,24.9,1,931,452,227781.83,0.8607,0.3386,-0.1007,0.4527,0.031949,33.8
193,13.471,33.4,25.2,1,930,453,236401.05,0.8449,0.3136,-0.0856,0.4512,0.031949,34.2
194,13.511,33.1,24.9,1,926,456,244556.5,0.8307,0.2899,-0.0742,0.4392,0.031949,34.4
195,13.552,33.2,24.6,1,925,452,235665.61,0.8462,0.3157,-0.0939,0.4434,0.028993,35.1
196,13.593,33.1,24.3,1,923,444,223377.83,0.8692,0.3514,-0.1247,0.4383,0.028993,34.1
197,13.633,32.9,25.0,1,918,440,219554.1,0.8767,0.3625,-0.1229,0.4245,0.028993,33.7
198,13.672,33.0,25.2,1,912,441,219306.5,0.8772,0.3632,-0.1076,0.4132,0.028993,33.8
199,13.712,32.9,25.2,1,911,441,221929.73,0.872,0.3556,-0.1103,0.4215,0.028993,33.7
200,13.752,33.3,25.2,1,911,438,220390.6,0.875,0.3601,-0.124,0.4234,0.028993,35.6
201,13.793,32.8,24.0,1,914,436,220864.72,0.8741,0.3587,-0.1281,0.434,0.029945,33.8
202,13.833,33.3,25.3,1,915,443,219708.89,0.8764,0.362,-0.0888,0.4316,0.029945,34.3
203,13.873,33.0,24.9,1,914,455,217847.08,0.8801,0.3674,-0.0505,0.4262,0.029945,33.8
204,13.913,33.2,25.2,1,913,467,222040.95,0.8718,0.3553,0,0.4246,0.029945,34.0
205,13.953,33.1,25.0,1,913,474,217221.02,0.8814,0.3693,0,0.4266,0.029945,33.9
206,13.993,33.0,25.0,1,917,479,215978.27,0.8839,0.3729,0,0.4404,0.029945,35.3
207,14.034,32.9,24.3,1,918,493,222944.95,0.87,0.3526,0.0353,0.4363,0.02932,33.8
208,14.074,32.8,25.2,1,921,502,223879.75,0.8682,0.3499,0.0401,0.445,0.02932,33.9
209,14.113,33.0,25.2,1,926,512,236858.34,0.8441,0.3122,0.0638,0.4568,0.02932,33.7
210,14.153,33.2,25.2,1,934,519,257328.33,0.8098,0.2528,0.0702,0.475,0.02932,34.1
211,14.193,33.0,25.0,1,945,509,259659.58,0.8062,0.246,0,0.4981,0.02932,33.8
212,14.233,33.6,25.1,1,953,506,260427.62,0.805,0.2438,0,0.504,0.02932,35.8
213,14.274,32.8,24.1,1,958,510,264921.9,0.7981,0.2307,0.0464,0.5068,0.028155,33.7
214,14.314,33.1,25.2,1,963,514,265404.53,0.7974,0.2293,0.0531,0.5144,0.028155,34.3
215,14.354,32.9,24.8,1,964,520,270108.6,0.7904,0.2157,0.0709,0.5082,0.028155,33.7
216,14.394,33.0,25.2,1,962,533,266669.6,0.7955,0.2257,0.1163,0.4992,0.028155,33.8
217,14.434,33.6,25.1,1,961,544,264775.4,0.7983,0.2312,0.1336,0.4996,0.028155,34.4
218,14.474,32.8,24.8,1,958,549,262425.12,0.8019,0.238,0.1284,0.4911,0.028155,34.8
219,14.514,33.3,24.6,1,955,553,259028.1,0.8071,0.2479,0.1355,0.4864,0.027606,34.4
220,14.555,33.7,24.7,1,953,563,255726.08,0.8123,0.2574,0.1708,0.4852,0.027606,34.8
221,14.596,33.6,24.5,1,951,572,254293.25,0.8146,0.2616,0.1873,0.4821,0.027606,34.4
222,14.636,33.7,24.8,1,954,579,257040.06,0.8103,0.2536,0.1967,0.4964,0.027606,34.4
223,14.676,33.4,24.8,1,956,584,260064.31,0.8055,0.2449,0.202,0.4976,0.027606,34.2
224,14.717,33.5,24.9,1,959,591,261892.64,0.8027,0.2395,0.2211,0.504,0.027606,35.7
225,14.758,33.0,24.0,1,955,604,262830.34,0.8013,0.2368,0.2648,0.4843,0.027591,33.8
226,14.798,32.7,25.2,1,952,610,260523.05,0.8048,0.2435,0.259,0.4816,0.027591,33.8
227,14.838,30.2,25.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
228,14.874,32.7,27.7,1,940,603,248071.1,0.8248,0.2797,0.219,0.4563,0.027591,33.5
229,14.913,32.9,25.4,1,927,592,245078.95,0.8298,0.2884,0.1767,0.4227,0.027591,33.6
230,14.953,33.8,25.3,1,896,576,238837.98,0.8406,0.3065,0.1327,0.3423,0.027591,36.2
231,14.995,33.3,23.8,1,872,567,237844.28,0.8423,0.3094,0.1288,0.3157,0.028246,34.2
232,15.035,33.4,25.0,1,851,561,235145.28,0.8471,0.3172,0.125,0.289,0.028246,34.4
233,15.075,33.4,24.8,1,827,556,234576.42,0.8482,0.3189,0.1171,0.2453,0.028246,34.2
234,15.115,33.0,24.9,1,808,561,247458.17,0.8258,0.2815,0.1536,0.2252,0.028246,33.8
235,15.155,33.7,25.1,1,784,560,244292.45,0.8311,0.2906,0.1358,0.1787,0.028246,34.5
236,15.195,33.6,24.7,1,766,554,232631.86,0.8517,0.3245,0.111,0.1632,0.028246,35.8
237,15.237,33.2,24.0,1,753,550,228785.94,0.8588,0.3357,0.1059,0.1512,0.028809,34.1
238,15.277,33.4,25.1,1,743,547,227306.05,0.8616,0.34,0.103,0.1415,0.028809,34.6
239,15.318,33.1,24.7,1,735,543,228932.95,0.8586,0.3352,0.092,0.1328,0.028809,34.0
240,15.357,33.2,25.2,1,726,534,228419.7,0.8595,0.3367,0.0601,0.1167,0.028809,34.0
241,15.397,33.2,25.2,1,720,528,228302.25,0.8597,0.3371,0.0554,0.1132,0.028809,33.9
242,15.437,33.4,25.1,1,714,521,226184.38,0.8638,0.3432,0.0391,0.1044,0.028809,35.5
243,15.478,33.3,24.1,1,709,516,226158.34,0.8638,0.3433,0.032,0.0981,0.02934,34.1
244,15.518,33.1,25.0,1,705,512,228898.45,0.8586,0.3353,0,0.0938,0.02934,34.2
245,15.559,33.5,24.9,1,695,508,232671.38,0.8516,0.3244,0,0.0665,0.02934,34.3
246,15.599,32.8,24.9,1,690,506,233504.88,0.8501,0.322,0,0.0682,0.02934,33.6
247,15.638,30.5,25.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
248,15.674,33.1,27.5,1,683,503,229797.97,0.8569,0.3327,0,0.0602,0.02934,36.0
249,15.716,33.7,23.9,1,681,502,227961.61,0.8604,0.3381,0,0.0602,0.029362,34.7
250,15.757,33.6,24.6,1,676,499,227149.6,0.8619,0.3404,0,0.0466,0.029362,34.6
251,15.797,32.8,24.7,1,673,498,227400.14,0.8614,0.3397,0,0.0456,0.029362,33.6
